tenant_id,lot_id,user_id,permit_url,delegation_status,approval_status,approved_by,approved_at,rejection_reason,can_process_payment,created_at,updated_at
TEN-2026-0001,LOT-002,USR-2026-0152,uploads/permits/TEN001.pdf,ACTIVE,APPROVED,USR-2026-0001,2026-01-15 09:00:00,,TRUE,2026-01-15 09:00:00,2026-01-15 09:00:00
TEN-2026-0001,LOT-002,USR-2026-0152,uploads/permits/TEN001.pdf,ACTIVE,APPROVED,USR-2026-0001,2026-01-15 09:00:00,,TRUE,2026-01-15 09:00:00,2026-01-15 09:00:00
TEN-2026-0001,LOT-002,USR-2026-0152,uploads/permits/TEN001.pdf,ACTIVE,APPROVED,USR-2026-0001,2026-01-15 09:00:00,,TRUE,2026-01-15 09:00:00,2026-01-15 09:00:00
TEN-2026-0002,LOT-019,USR-2026-0122,uploads/permits/TEN002.pdf,ACTIVE,APPROVED,USR-2026-0001,2026-02-17 10:22:10,,TRUE,2026-02-17 10:22:10,2026-02-17 10:22:10
TEN-2026-0002,LOT-020,USR-2026-0122,uploads/permits/TEN002.pdf,ACTIVE,APPROVED,USR-2026-0001,2026-02-17 10:24:10,,TRUE,2026-02-17 10:24:10,2026-02-17 10:24:10
TEN-2026-0003,LOT-072,USR-2026-0153,uploads/permits/TEN003.pdf,ACTIVE,APPROVED,USR-2026-0001,2026-02-25 11:11:00,,TRUE,2026-02-25 11:11:00,2026-02-25 11:11:00
TEN-2026-0004,LOT-111,USR-2026-0155,uploads/permits/TEN004.pdf,ACTIVE,APPROVED,USR-2026-0001,2026-03-10 08:07:05,,TRUE,2026-03-10 08:07:05,2026-03-10 08:07:05
TEN-2026-0005,LOT-128,USR-2026-0156,uploads/permits/TEN005.pdf,ACTIVE,PENDING,USR-2026-0001,2026-03-19 09:12:00,,TRUE,2026-03-19 09:12:00,2026-03-19 09:12:00
TEN-2026-0006,LOT-142,USR-2026-0157,uploads/permits/TEN006.pdf,ACTIVE,APPROVED,USR-2026-0001,2026-04-07 13:00:00,,TRUE,2026-04-07 13:00:00,2026-04-07 13:00:00
TEN-2026-0007,LOT-154,USR-2026-0158,uploads/permits/TEN007.pdf,ACTIVE,APPROVED,USR-2026-0001,2026-04-09 15:00:00,,TRUE,2026-04-09 15:00:00,2026-04-09 15:00:00
TEN-2026-0008,LOT-087,USR-2026-0154,uploads/permits/TEN008.pdf,ACTIVE,APPROVED,USR-2026-0001,2026-05-30 11:31:15,,TRUE,2026-05-30 11:31:15,2026-05-30 11:31:15
